%%  1. Title: Car Evaluation Database
%%  
%%  2. Sources:
%%     (a) Creator: Marko Bohanec
%%     (b) Donors: Marko Bohanec   (marko.bohanec@ijs.si)
%%                 Blaz Zupan      (blaz.zupan@ijs.si)
%%     (c) Date: June, 1997
%%  
%%  3. Past Usage:
%%  
%%     The hierarchical decision model, from which this dataset is
%%     derived, was first presented in 
%%  
%%     M. Bohanec and V. Rajkovic: Knowledge acquisition and explanation for
%%     multi-attribute decision making. In 8th Intl Workshop on Expert
%%     Systems and their Applications, Avignon, France. pages 59-78, 1988.
%%  
%%     Within machine-learning, this dataset was used for the evaluation
%%     of HINT (Hierarchy INduction Tool), which was proved to be able to
%%     completely reconstruct the original hierarchical model. This,
%%     together with a comparison with C4.5, is presented in
%%  
%%     B. Zupan, M. Bohanec, I. Bratko, J. Demsar: Machine learning by
%%     function decomposition. ICML-97, Nashville, TN. 1997 (to appear)
%%  
%%  4. Relevant Information Paragraph:
%%  
%%     Car Evaluation Database was derived from a simple hierarchical
%%     decision model originally developed for the demonstration of DEX
%%     (M. Bohanec, V. Rajkovic: Expert system for decision
%%     making. Sistemica 1(1), pp. 145-157, 1990.). The model evaluates
%%     cars according to the following concept structure:
%%  
%%     CAR                      car acceptability
%%     . PRICE                  overall price
%%     . . buying               buying price
%%     . . maint                price of the maintenance
%%     . TECH                   technical characteristics
%%     . . COMFORT              comfort
%%     . . . doors              number of doors
%%     . . . persons            capacity in terms of persons to carry
%%     . . . lug_boot           the size of luggage boot
%%     . . safety               estimated safety of the car
%%  
%%     Input attributes are printed in lowercase. Besides the target
%%     concept (CAR), the model includes three intermediate concepts:
%%     PRICE, TECH, COMFORT. Every concept is in the original model
%%     related to its lower level descendants by a set of examples (for
%%     these examples sets see http://www-ai.ijs.si/BlazZupan/car.html).
%%  
%%     The Car Evaluation Database contains examples with the structural
%%     information removed, i.e., directly relates CAR to the six input
%%     attributes: buying, maint, doors, persons, lug_boot, safety.
%%  
%%     Because of known underlying concept structure, this database may be
%%     particularly useful for testing constructive induction and
%%     structure discovery methods.
%%  
%%  5. Number of Instances: 1728
%%     (instances completely cover the attribute space)
%%  
%%  6. Number of Attributes: 6
%%  
%%  7. Attribute Values:
%%  
%%     buying       v-high, high, med, low
%%     maint        v-high, high, med, low
%%     doors        2, 3, 4, 5-more
%%     persons      2, 4, more
%%     lug_boot     small, med, big
%%     safety       low, med, high
%%  
%%  8. Missing Attribute Values: none
%%  
%%  9. Class Distribution (number of instances per class)
%%  
%%     class      N          N[%]
%%     -----------------------------
%%     unacc     1210     (70.023 %) 
%%     acc        384     (22.222 %) 
%%     good        69     ( 3.993 %) 
%%     v-good      65     ( 3.762 %) 

@relation car-evaluation

@attribute buying_price {low,med,high,vhigh}
@attribute maintenance_price  {low,med,high,vhigh}
@attribute n_doors {2,3,4,5more}
@attribute n_persons {2,4,more}
@attribute lug_boot_size {small,med,big}
@attribute safety{low,med,high}
@attribute Class {unacceptable,acceptable,good,very_good}

@data
vhigh,vhigh,4,2,big,high,unacceptable
vhigh,vhigh,4,4,small,low,unacceptable
vhigh,vhigh,4,4,small,med,unacceptable
vhigh,vhigh,4,4,small,high,unacceptable
vhigh,vhigh,4,4,med,low,unacceptable
vhigh,vhigh,4,4,med,med,unacceptable
vhigh,vhigh,4,4,med,high,unacceptable
vhigh,vhigh,4,4,big,low,unacceptable
vhigh,vhigh,4,4,big,med,unacceptable
vhigh,vhigh,4,4,big,high,unacceptable
vhigh,vhigh,4,more,small,low,unacceptable
vhigh,vhigh,4,more,small,med,unacceptable
vhigh,vhigh,4,more,small,high,unacceptable
vhigh,vhigh,4,more,med,low,unacceptable
vhigh,vhigh,4,more,med,med,unacceptable
vhigh,vhigh,4,more,med,high,unacceptable
vhigh,vhigh,4,more,big,low,unacceptable
vhigh,vhigh,4,more,big,med,unacceptable
vhigh,vhigh,4,more,big,high,unacceptable
vhigh,vhigh,5more,2,small,low,unacceptable
vhigh,vhigh,5more,2,small,med,unacceptable
vhigh,vhigh,5more,2,small,high,unacceptable
vhigh,vhigh,5more,2,med,low,unacceptable
vhigh,vhigh,5more,2,med,med,unacceptable
vhigh,vhigh,5more,2,med,high,unacceptable
vhigh,vhigh,5more,2,big,low,unacceptable
vhigh,vhigh,5more,2,big,med,unacceptable
vhigh,vhigh,5more,2,big,high,unacceptable
vhigh,vhigh,5more,4,small,low,unacceptable
vhigh,vhigh,5more,4,small,med,unacceptable
vhigh,vhigh,5more,4,small,high,unacceptable
vhigh,vhigh,5more,4,med,low,unacceptable
vhigh,vhigh,5more,4,med,med,unacceptable
vhigh,vhigh,5more,4,med,high,unacceptable
vhigh,vhigh,5more,4,big,low,unacceptable
vhigh,vhigh,5more,4,big,med,unacceptable
vhigh,vhigh,5more,4,big,high,unacceptable
vhigh,vhigh,5more,more,small,low,unacceptable
vhigh,vhigh,5more,more,small,med,unacceptable
vhigh,vhigh,5more,more,small,high,unacceptable
vhigh,vhigh,5more,more,med,low,unacceptable
vhigh,vhigh,5more,more,med,med,unacceptable
vhigh,vhigh,5more,more,med,high,unacceptable
vhigh,vhigh,5more,more,big,low,unacceptable
vhigh,vhigh,5more,more,big,med,unacceptable
vhigh,vhigh,5more,more,big,high,unacceptable
vhigh,high,2,2,small,low,unacceptable
vhigh,high,2,2,small,med,unacceptable
vhigh,high,2,2,small,high,unacceptable
vhigh,high,2,2,med,low,unacceptable
vhigh,high,2,2,med,med,unacceptable
vhigh,high,2,2,med,high,unacceptable
vhigh,high,2,2,big,low,unacceptable
vhigh,high,2,2,big,med,unacceptable
vhigh,high,2,2,big,high,unacceptable
vhigh,high,2,4,small,low,unacceptable
vhigh,high,2,4,small,med,unacceptable
vhigh,high,2,4,small,high,unacceptable
vhigh,high,2,4,med,low,unacceptable
vhigh,high,2,4,med,med,unacceptable
vhigh,high,2,4,med,high,unacceptable
vhigh,high,2,4,big,low,unacceptable
vhigh,high,2,4,big,med,unacceptable
vhigh,high,2,4,big,high,unacceptable
vhigh,high,2,more,small,low,unacceptable
vhigh,high,2,more,small,med,unacceptable
vhigh,high,2,more,small,high,unacceptable
vhigh,high,2,more,med,low,unacceptable
vhigh,high,2,more,med,med,unacceptable
vhigh,high,2,more,med,high,unacceptable
vhigh,high,2,more,big,low,unacceptable
vhigh,high,2,more,big,med,unacceptable
vhigh,high,2,more,big,high,unacceptable
vhigh,high,3,2,small,low,unacceptable
vhigh,high,3,2,small,med,unacceptable
vhigh,high,3,2,small,high,unacceptable
vhigh,high,3,2,med,low,unacceptable
vhigh,high,3,2,med,med,unacceptable
vhigh,high,3,2,med,high,unacceptable
vhigh,high,3,2,big,low,unacceptable
vhigh,high,3,2,big,med,unacceptable
vhigh,high,3,2,big,high,unacceptable
vhigh,high,3,4,small,low,unacceptable
vhigh,high,3,4,small,med,unacceptable
vhigh,high,3,4,small,high,unacceptable
vhigh,high,3,4,med,low,unacceptable
vhigh,high,3,4,med,med,unacceptable
vhigh,high,3,4,med,high,unacceptable
vhigh,high,3,4,big,low,unacceptable
vhigh,high,3,4,big,med,unacceptable
vhigh,high,3,4,big,high,unacceptable
vhigh,high,3,more,small,low,unacceptable
vhigh,high,3,more,small,med,unacceptable
vhigh,high,3,more,small,high,unacceptable
vhigh,high,3,more,med,low,unacceptable
vhigh,high,3,more,med,med,unacceptable
vhigh,high,3,more,med,high,unacceptable
vhigh,high,3,more,big,low,unacceptable
vhigh,high,3,more,big,med,unacceptable
vhigh,high,3,more,big,high,unacceptable
vhigh,high,4,2,small,low,unacceptable
vhigh,high,4,2,small,med,unacceptable
vhigh,high,4,2,small,high,unacceptable
vhigh,high,4,2,med,low,unacceptable
vhigh,high,4,2,med,med,unacceptable
vhigh,high,4,2,med,high,unacceptable
vhigh,high,4,2,big,low,unacceptable
vhigh,high,4,2,big,med,unacceptable
vhigh,high,4,2,big,high,unacceptable
vhigh,high,4,4,small,low,unacceptable
vhigh,high,4,4,small,med,unacceptable
vhigh,high,4,4,small,high,unacceptable
vhigh,high,4,4,med,low,unacceptable
vhigh,high,4,4,med,med,unacceptable
vhigh,high,4,4,med,high,unacceptable
vhigh,high,4,4,big,low,unacceptable
vhigh,high,4,4,big,med,unacceptable
vhigh,high,4,4,big,high,unacceptable
vhigh,high,4,more,small,low,unacceptable
vhigh,high,4,more,small,med,unacceptable
vhigh,high,4,more,small,high,unacceptable
vhigh,high,4,more,med,low,unacceptable
vhigh,high,4,more,med,med,unacceptable
vhigh,high,4,more,med,high,unacceptable
vhigh,high,4,more,big,low,unacceptable
vhigh,high,4,more,big,med,unacceptable
vhigh,high,4,more,big,high,unacceptable
vhigh,high,5more,2,small,low,unacceptable
vhigh,high,5more,2,small,med,unacceptable
vhigh,high,5more,2,small,high,unacceptable
vhigh,high,5more,2,med,low,unacceptable
vhigh,high,5more,2,med,med,unacceptable
vhigh,high,5more,2,med,high,unacceptable
vhigh,high,5more,2,big,low,unacceptable
vhigh,high,5more,2,big,med,unacceptable
vhigh,high,5more,2,big,high,unacceptable
vhigh,high,5more,4,small,low,unacceptable
vhigh,high,5more,4,small,med,unacceptable
vhigh,high,5more,4,small,high,unacceptable
vhigh,high,5more,4,med,low,unacceptable
vhigh,high,5more,4,med,med,unacceptable
vhigh,high,5more,4,med,high,unacceptable
vhigh,high,5more,4,big,low,unacceptable
vhigh,high,5more,4,big,med,unacceptable
vhigh,high,5more,4,big,high,unacceptable
vhigh,high,5more,more,small,low,unacceptable
vhigh,high,5more,more,small,med,unacceptable
vhigh,high,5more,more,small,high,unacceptable
vhigh,high,5more,more,med,low,unacceptable
vhigh,high,5more,more,med,med,unacceptable
vhigh,high,5more,more,med,high,unacceptable
vhigh,high,5more,more,big,low,unacceptable
vhigh,high,5more,more,big,med,unacceptable
vhigh,high,5more,more,big,high,unacceptable
vhigh,med,2,2,small,low,unacceptable
vhigh,med,2,2,small,med,unacceptable
vhigh,med,2,2,small,high,unacceptable
vhigh,med,2,2,med,low,unacceptable
vhigh,med,2,2,med,med,unacceptable
vhigh,med,2,2,med,high,unacceptable
vhigh,med,2,2,big,low,unacceptable
vhigh,med,2,2,big,med,unacceptable
vhigh,med,2,2,big,high,unacceptable
vhigh,med,2,4,small,low,unacceptable
vhigh,med,2,4,small,med,unacceptable
vhigh,med,2,4,small,high,acceptable
vhigh,med,2,4,med,low,unacceptable
vhigh,med,2,4,med,med,unacceptable
vhigh,med,2,4,med,high,acceptable
vhigh,med,2,4,big,low,unacceptable
vhigh,med,2,4,big,med,acceptable
vhigh,med,2,4,big,high,acceptable
vhigh,med,2,more,small,low,unacceptable
vhigh,med,2,more,small,med,unacceptable
vhigh,med,2,more,small,high,unacceptable
vhigh,med,2,more,med,low,unacceptable
vhigh,med,2,more,med,med,unacceptable
vhigh,med,2,more,med,high,acceptable
vhigh,med,2,more,big,low,unacceptable
vhigh,med,2,more,big,med,acceptable
vhigh,med,2,more,big,high,acceptable
vhigh,med,3,2,small,low,unacceptable
vhigh,med,3,2,small,med,unacceptable
vhigh,med,3,2,small,high,unacceptable
vhigh,med,3,2,med,low,unacceptable
vhigh,med,3,2,med,med,unacceptable
vhigh,med,3,2,med,high,unacceptable
vhigh,med,3,2,big,low,unacceptable
vhigh,med,3,2,big,med,unacceptable
vhigh,med,3,2,big,high,unacceptable
vhigh,med,3,4,small,low,unacceptable
vhigh,med,3,4,small,med,unacceptable
vhigh,med,3,4,small,high,acceptable
vhigh,med,3,4,med,low,unacceptable
vhigh,med,3,4,med,med,unacceptable
vhigh,med,3,4,med,high,acceptable
vhigh,med,3,4,big,low,unacceptable
vhigh,med,3,4,big,med,acceptable
vhigh,med,3,4,big,high,acceptable
vhigh,med,3,more,small,low,unacceptable
vhigh,med,3,more,small,med,unacceptable
vhigh,med,3,more,small,high,acceptable
vhigh,med,3,more,med,low,unacceptable
vhigh,med,3,more,med,med,acceptable
vhigh,med,3,more,med,high,acceptable
vhigh,med,3,more,big,low,unacceptable
vhigh,med,3,more,big,med,acceptable
vhigh,med,3,more,big,high,acceptable
vhigh,med,4,2,small,low,unacceptable
vhigh,med,4,2,small,med,unacceptable
vhigh,med,4,2,small,high,unacceptable
vhigh,med,4,2,med,low,unacceptable
vhigh,med,4,2,med,med,unacceptable
vhigh,med,4,2,med,high,unacceptable
vhigh,med,4,2,big,low,unacceptable
vhigh,med,4,2,big,med,unacceptable
vhigh,med,4,2,big,high,unacceptable
vhigh,med,4,4,small,low,unacceptable
vhigh,med,4,4,small,med,unacceptable
vhigh,med,4,4,small,high,acceptable
vhigh,med,4,4,med,low,unacceptable
vhigh,med,4,4,med,med,acceptable
vhigh,med,4,4,med,high,acceptable
vhigh,med,4,4,big,low,unacceptable
vhigh,med,4,4,big,med,acceptable
vhigh,med,4,4,big,high,acceptable
vhigh,med,4,more,small,low,unacceptable
vhigh,med,4,more,small,med,unacceptable
vhigh,med,4,more,small,high,acceptable
vhigh,med,4,more,med,low,unacceptable
vhigh,med,4,more,med,med,acceptable
vhigh,med,4,more,med,high,acceptable
vhigh,med,4,more,big,low,unacceptable
vhigh,med,4,more,big,med,acceptable
vhigh,med,4,more,big,high,acceptable
vhigh,med,5more,2,small,low,unacceptable
vhigh,med,5more,2,small,med,unacceptable
vhigh,med,5more,2,small,high,unacceptable
vhigh,med,5more,2,med,low,unacceptable
vhigh,med,5more,2,med,med,unacceptable
vhigh,med,5more,2,med,high,unacceptable
vhigh,med,5more,2,big,low,unacceptable
vhigh,med,5more,2,big,med,unacceptable
vhigh,med,5more,2,big,high,unacceptable
vhigh,med,5more,4,small,low,unacceptable
vhigh,med,5more,4,small,med,unacceptable
vhigh,med,5more,4,small,high,acceptable
vhigh,med,5more,4,med,low,unacceptable
vhigh,med,5more,4,med,med,acceptable
vhigh,med,5more,4,med,high,acceptable
vhigh,med,5more,4,big,low,unacceptable
vhigh,med,5more,4,big,med,acceptable
vhigh,med,5more,4,big,high,acceptable
vhigh,med,5more,more,small,low,unacceptable
vhigh,med,5more,more,small,med,unacceptable
vhigh,med,5more,more,small,high,acceptable
vhigh,med,5more,more,med,low,unacceptable
vhigh,med,5more,more,med,med,acceptable
vhigh,med,5more,more,med,high,acceptable
vhigh,med,5more,more,big,low,unacceptable
vhigh,med,5more,more,big,med,acceptable
vhigh,med,5more,more,big,high,acceptable
vhigh,low,2,2,small,low,unacceptable
vhigh,low,2,2,small,med,unacceptable
vhigh,low,2,2,small,high,unacceptable
vhigh,low,2,2,med,low,unacceptable
vhigh,low,2,2,med,med,unacceptable
vhigh,low,2,2,med,high,unacceptable
vhigh,low,2,2,big,low,unacceptable
vhigh,low,2,2,big,med,unacceptable
vhigh,low,2,2,big,high,unacceptable
vhigh,low,2,4,small,low,unacceptable
vhigh,low,2,4,small,med,unacceptable
vhigh,low,2,4,small,high,acceptable
vhigh,low,2,4,med,low,unacceptable
vhigh,low,2,4,med,med,unacceptable
vhigh,low,2,4,med,high,acceptable
vhigh,low,2,4,big,low,unacceptable
vhigh,low,2,4,big,med,acceptable
vhigh,low,2,4,big,high,acceptable
vhigh,low,2,more,small,low,unacceptable
vhigh,low,2,more,small,med,unacceptable
vhigh,low,2,more,small,high,unacceptable
vhigh,low,2,more,med,low,unacceptable
vhigh,low,2,more,med,med,unacceptable
vhigh,low,2,more,med,high,acceptable
vhigh,low,2,more,big,low,unacceptable
vhigh,low,2,more,big,med,acceptable
vhigh,low,2,more,big,high,acceptable
vhigh,low,3,2,small,low,unacceptable
vhigh,low,3,2,small,med,unacceptable
vhigh,low,3,2,small,high,unacceptable
vhigh,low,3,2,med,low,unacceptable
vhigh,low,3,2,med,med,unacceptable
vhigh,low,3,2,med,high,unacceptable
vhigh,low,3,2,big,low,unacceptable
vhigh,low,3,2,big,med,unacceptable
vhigh,low,3,2,big,high,unacceptable
vhigh,low,3,4,small,low,unacceptable
vhigh,low,3,4,small,med,unacceptable
vhigh,low,3,4,small,high,acceptable
vhigh,low,3,4,med,low,unacceptable
vhigh,low,3,4,med,med,unacceptable
vhigh,low,3,4,med,high,acceptable
vhigh,low,3,4,big,low,unacceptable
vhigh,low,3,4,big,med,acceptable
vhigh,low,3,4,big,high,acceptable
vhigh,low,3,more,small,low,unacceptable
vhigh,low,3,more,small,med,unacceptable
vhigh,low,3,more,small,high,acceptable
vhigh,low,3,more,med,low,unacceptable
vhigh,low,3,more,med,med,acceptable
vhigh,low,3,more,med,high,acceptable
vhigh,low,3,more,big,low,unacceptable
vhigh,low,3,more,big,med,acceptable
vhigh,low,3,more,big,high,acceptable
vhigh,low,4,2,small,low,unacceptable
vhigh,low,4,2,small,med,unacceptable
vhigh,low,4,2,small,high,unacceptable
vhigh,low,4,2,med,low,unacceptable
vhigh,low,4,2,med,med,unacceptable
vhigh,low,4,2,med,high,unacceptable
vhigh,low,4,2,big,low,unacceptable
vhigh,low,4,2,big,med,unacceptable
vhigh,low,4,2,big,high,unacceptable
vhigh,low,4,4,small,low,unacceptable
vhigh,low,4,4,small,med,unacceptable
vhigh,low,4,4,small,high,acceptable
vhigh,low,4,4,med,low,unacceptable
vhigh,low,4,4,med,med,acceptable
vhigh,low,4,4,med,high,acceptable
vhigh,low,4,4,big,low,unacceptable
vhigh,low,4,4,big,med,acceptable
vhigh,low,4,4,big,high,acceptable
vhigh,low,4,more,small,low,unacceptable
vhigh,low,4,more,small,med,unacceptable
vhigh,low,4,more,small,high,acceptable
vhigh,low,4,more,med,low,unacceptable
vhigh,low,4,more,med,med,acceptable
vhigh,low,4,more,med,high,acceptable
vhigh,low,4,more,big,low,unacceptable
vhigh,low,4,more,big,med,acceptable
vhigh,low,4,more,big,high,acceptable
vhigh,low,5more,2,small,low,unacceptable
vhigh,low,5more,2,small,med,unacceptable
vhigh,low,5more,2,small,high,unacceptable
vhigh,low,5more,2,med,low,unacceptable
vhigh,low,5more,2,med,med,unacceptable
vhigh,low,5more,2,med,high,unacceptable
vhigh,low,5more,2,big,low,unacceptable
vhigh,low,5more,2,big,med,unacceptable
vhigh,low,5more,2,big,high,unacceptable
vhigh,low,5more,4,small,low,unacceptable
vhigh,low,5more,4,small,med,unacceptable
vhigh,low,5more,4,small,high,acceptable
vhigh,low,5more,4,med,low,unacceptable
vhigh,low,5more,4,med,med,acceptable
vhigh,low,5more,4,med,high,acceptable
vhigh,low,5more,4,big,low,unacceptable
vhigh,low,5more,4,big,med,acceptable
vhigh,low,5more,4,big,high,acceptable
vhigh,low,5more,more,small,low,unacceptable
vhigh,low,5more,more,small,med,unacceptable
vhigh,low,5more,more,small,high,acceptable
vhigh,low,5more,more,med,low,unacceptable
vhigh,low,5more,more,med,med,acceptable
vhigh,low,5more,more,med,high,acceptable
vhigh,low,5more,more,big,low,unacceptable
vhigh,low,5more,more,big,med,acceptable
vhigh,low,5more,more,big,high,acceptable
high,vhigh,2,2,small,low,unacceptable
high,vhigh,2,2,small,med,unacceptable
high,vhigh,2,2,small,high,unacceptable
high,vhigh,2,2,med,low,unacceptable
high,vhigh,2,2,med,med,unacceptable
high,vhigh,2,2,med,high,unacceptable
high,vhigh,2,2,big,low,unacceptable
high,vhigh,2,2,big,med,unacceptable
high,vhigh,2,2,big,high,unacceptable
high,vhigh,2,4,small,low,unacceptable
high,vhigh,2,4,small,med,unacceptable
high,vhigh,2,4,small,high,unacceptable
high,vhigh,2,4,med,low,unacceptable
high,vhigh,2,4,med,med,unacceptable
high,vhigh,2,4,med,high,unacceptable
high,vhigh,2,4,big,low,unacceptable
high,vhigh,2,4,big,med,unacceptable
high,vhigh,2,4,big,high,unacceptable
high,vhigh,2,more,small,low,unacceptable
high,vhigh,2,more,small,med,unacceptable
high,vhigh,2,more,small,high,unacceptable
high,vhigh,2,more,med,low,unacceptable
high,vhigh,2,more,med,med,unacceptable
high,vhigh,2,more,med,high,unacceptable
high,vhigh,2,more,big,low,unacceptable
high,vhigh,2,more,big,med,unacceptable
high,vhigh,2,more,big,high,unacceptable
high,vhigh,3,2,small,low,unacceptable
high,vhigh,3,2,small,med,unacceptable
high,vhigh,3,2,small,high,unacceptable
high,vhigh,3,2,med,low,unacceptable
high,vhigh,3,2,med,med,unacceptable
high,vhigh,3,2,med,high,unacceptable
high,vhigh,3,2,big,low,unacceptable
high,vhigh,3,2,big,med,unacceptable
high,vhigh,3,2,big,high,unacceptable
high,vhigh,3,4,small,low,unacceptable
high,vhigh,3,4,small,med,unacceptable
high,vhigh,3,4,small,high,unacceptable
high,vhigh,3,4,med,low,unacceptable
high,vhigh,3,4,med,med,unacceptable
high,vhigh,3,4,med,high,unacceptable
high,vhigh,3,4,big,low,unacceptable
high,vhigh,3,4,big,med,unacceptable
high,vhigh,3,4,big,high,unacceptable
high,vhigh,3,more,small,low,unacceptable
high,vhigh,3,more,small,med,unacceptable
high,vhigh,3,more,small,high,unacceptable
high,vhigh,3,more,med,low,unacceptable
high,vhigh,3,more,med,med,unacceptable
high,vhigh,3,more,med,high,unacceptable
high,vhigh,3,more,big,low,unacceptable
high,vhigh,3,more,big,med,unacceptable
high,vhigh,3,more,big,high,unacceptable
high,vhigh,4,2,small,low,unacceptable
high,vhigh,4,2,small,med,unacceptable
high,vhigh,4,2,small,high,unacceptable
high,vhigh,4,2,med,low,unacceptable
high,vhigh,4,2,med,med,unacceptable
high,vhigh,4,2,med,high,unacceptable
high,vhigh,4,2,big,low,unacceptable
high,vhigh,4,2,big,med,unacceptable
high,vhigh,4,2,big,high,unacceptable
high,vhigh,4,4,small,low,unacceptable
high,vhigh,4,4,small,med,unacceptable
high,vhigh,4,4,small,high,unacceptable
high,vhigh,4,4,med,low,unacceptable
high,vhigh,4,4,med,med,unacceptable
high,vhigh,4,4,med,high,unacceptable
high,vhigh,4,4,big,low,unacceptable
high,vhigh,4,4,big,med,unacceptable
high,vhigh,4,4,big,high,unacceptable
high,vhigh,4,more,small,low,unacceptable
high,vhigh,4,more,small,med,unacceptable
